Name,Address,Phone,Latitude,Longitude
현고들깨손칼국수,충북 청주시 서원구 개신동 279-5,043-262-6800,36.6240288297433,127.450517360019
강남면옥 청주점,충북 청주시 흥덕구 복대동 45-3,0507-1325-3015,36.6342791508355,127.445013331829
보당해장국,충북 청주시 흥덕구 복대동 169-1,043-276-5520,36.633266054137295,127.44939489686082
흥부네왕돈까스,충북 청주시 흥덕구 복대동 885-7,,36.6327835775711,127.454481614692
바니시버거 충북대본점,충북 청주시 흥덕구 복대동 905-15,0502-5550-7059,36.6338657426474,127.456156174861
몽키만두,충북 청주시 흥덕구 복대동 870-5,043-260-9132,36.63436788039346,127.4542147466797
엄마김밥,충북 청주시 흥덕구 복대동 1784,043-272-2964,36.628269639484756,127.44810476049408
보글보글촌,충북 청주시 서원구 개신동 511,043-274-8292,36.6242608984536,127.447281094691
로충칭마라탕,충북 청주시 흥덕구 복대동 865-9,043-263-8088,36.63289290234422,127.45274922378549
우주식탁,충북 청주시 서원구 사창동 146-25,,36.6355007522645,127.456532557309
둥지마을 왕족발,충북 청주시 흥덕구 복대동 177-7,043-263-7015,36.6326348875747,127.450925240484
장충동왕족발보쌈,충북 청주시 흥덕구 복대동 1649,0502-5550-1850,36.63128225705592,127.45117227769595
햇살왕만두,충북 청주시 흥덕구 복대동 905-15,043-264-7050,36.63379894068494,127.45618708786076
반객,충북 청주시 서원구 개신동 301,043-268-9500,36.6219836029925,127.450903440773
대구전봇대막창 충북대점,충북 청주시 흥덕구 복대동 177-8,043-272-7112,36.632591024816,127.45108598865
