시군,읍면동,남,여,세대수,전월, 증감(전월) ,증감율(전월),전년(동월), 증감(전년) ,증감율(전년)
청주시 상당구,낭성면,1196,1108,1241,2309,-5,-0.22,2324,-20,-0.86
청주시 상당구,미원면,2594,2475,2852,5074,-5,-0.1,5181,-112,-2.16
청주시 상당구,가덕면,2032,1953,2086,3976,9,0.23,4097,-112,-2.73
청주시 상당구,남일면,3525,3433,3160,6963,-5,-0.07,7265,-307,-4.23
청주시 상당구,문의면,2102,1970,2066,4101,-29,-0.71,4231,-159,-3.76
청주시 상당구,중앙동,2870,2932,2964,5814,-12,-0.21,5994,-192,-3.2
청주시 상당구,성안동,3590,3427,3943,7019,-2,-0.03,6945,72,1.04
청주시 상당구,탑대성동,4453,4604,4230,9118,-61,-0.67,9572,-515,-5.38
청주시 상당구,영운동,5415,5559,5159,11056,-82,-0.74,11513,-539,-4.68
청주시 상당구,금천동,14584,15386,11879,30083,-113,-0.38,31246,-1276,-4.08
청주시 상당구,용담.명암.산성동,6719,6911,4876,13651,-21,-0.15,14073,-443,-3.15
청주시 상당구,용암1동,27172,26876,21582,53751,297,0.55,42907,11141,25.97
청주시 상당구,용암2동,16797,17320,13080,32989,1128,3.42,33230,887,2.67
청주시 서원구,남이면,5339,4887,4664,10273,-47,-0.46,10358,-132,-1.27
청주시 서원구,현도면,1747,1633,1849,3412,-32,-0.94,3505,-125,-3.57
청주시 서원구,사직제1동,4044,3876,3895,7960,-40,-0.5,8503,-583,-6.86
청주시 서원구,사직제2동,7108,7496,5741,14623,-19,-0.13,15053,-449,-2.98
청주시 서원구,사창동,7457,7575,8287,15048,-16,-0.11,15519,-487,-3.14
청주시 서원구,모충동,7436,7436,7411,14924,-52,-0.35,15771,-899,-5.7
청주시 서원구,산남동,13469,13576,10445,27109,-64,-0.24,27893,-848,-3.04
청주시 서원구,분평동,15359,16058,11958,31570,-153,-0.48,32608,-1191,-3.65
청주시 서원구,수곡1동,6982,6826,6933,13872,-64,-0.46,14497,-689,-4.75
청주시 서원구,수곡2동,6806,6933,6687,13774,-35,-0.25,14212,-473,-3.33
청주시 서원구,성화.개신.죽림동,22360,23080,19603,45563,-123,-0.27,47110,-1670,-3.54
청주시 흥덕구,"오송읍(구,강외면)",11637,11801,11319,23391,47,0.2,21562,1876,8.7
청주시 흥덕구,강내면,5569,5319,4987,10893,-5,-0.05,11040,-152,-1.38
청주시 흥덕구,옥산면,9264,8796,7800,18002,58,0.32,15522,2538,16.35
청주시 흥덕구,운천.신봉동,8730,8753,7683,17515,-32,-0.18,18178,-695,-3.82
청주시 흥덕구,복대1동,26369,25546,20953,51814,101,0.19,51804,111,0.21
청주시 흥덕구,복대2동,8306,7993,8810,16294,5,0.03,16991,-692,-4.07
청주시 흥덕구,가경동,25161,26206,20009,51436,-69,-0.13,50853,514,1.01
청주시 흥덕구,봉명1동,5189,4624,5653,9847,-34,-0.35,10775,-962,-8.93
청주시 흥덕구,봉명2.송정동,13118,11519,12002,24718,-81,-0.33,25404,-767,-3.02
청주시 흥덕구,강서제1동,14415,14045,14274,28448,12,0.04,24652,3808,15.45
청주시 흥덕구,강서제2동,7137,6341,5702,13467,11,0.08,12495,983,7.87
청주시 청원구,"내수읍(구,북일면)",10181,9580,8925,19775,-14,-0.07,20210,-449,-2.22
청주시 청원구,오창읍,36769,32466,29866,69105,130,0.19,68907,328,0.48
청주시 청원구,북이면,2489,2194,2588,4694,-11,-0.23,4773,-90,-1.89
청주시 청원구,우암동,6271,6193,7041,12466,-2,-0.02,13082,-618,-4.72
청주시 청원구,내덕제1동,4474,4348,4371,8826,-4,-0.05,9209,-387,-4.2
청주시 청원구,내덕제2동,6022,5644,5628,11742,-76,-0.65,12018,-352,-2.93
청주시 청원구,율량.사천동,23981,24621,20439,48716,-114,-0.23,49613,-1011,-2.04
청주시 청원구,오근장동,9107,9446,7292,18601,-48,-0.26,18733,-180,-0.96
충주시,주덕읍,2499,2405,2609,4920,-16,-0.33,5005,-101,-2.02
충주시,살미면,1030,1002,1095,2044,-12,-0.59,2098,-66,-3.15
충주시,수안보면,1543,1502,1691,3043,2,0.07,3201,-156,-4.87
충주시,대소원면,4882,3834,5029,8693,23,0.26,8486,230,2.71
충주시,신니면,1561,1461,1646,3026,-4,-0.13,3102,-80,-2.58
충주시,노은면,1174,1160,1248,2333,1,0.04,2385,-51,-2.14
충주시,앙성면,2045,1929,2268,3990,-16,-0.4,4074,-100,-2.45
충주시,중앙탑면,6706,6317,5807,12911,112,0.87,12276,747,6.09
충주시,금가면,1993,1751,1731,3745,-1,-0.03,3905,-161,-4.12
충주시,동량면,1878,1846,1924,3731,-7,-0.19,3815,-91,-2.39
충주시,산척면,1184,1128,1203,2311,1,0.04,2404,-92,-3.83
충주시,엄정면,1663,1607,1671,3276,-6,-0.18,3355,-85,-2.53
충주시,소태면,994,955,1041,1952,-3,-0.15,1957,-8,-0.41
충주시,성내.충인동,1362,1397,1545,2755,4,0.15,2901,-142,-4.89
충주시,교현.안림동,11813,11741,9981,23559,-5,-0.02,24981,-1427,-5.71
충주시,교현2동,3603,3577,3736,7213,-33,-0.46,7525,-345,-4.58
충주시,용산동,7642,7950,6335,15624,-32,-0.2,16626,-1034,-6.22
충주시,지현동,2646,2642,2483,5274,14,0.27,5617,-329,-5.86
충주시,문화동,4838,4822,4664,9675,-15,-0.16,10162,-502,-4.94
충주시,호암.직동,8939,8988,6905,17822,105,0.59,10959,6968,63.58
충주시,달천동,1983,1700,2137,3683,,0,3903,-220,-5.64
충주시,봉방동,4856,4551,4675,9404,3,0.03,9799,-392,-4
충주시,칠금.금릉동,7264,7438,6146,14761,-59,-0.4,15585,-883,-5.67
충주시,연수동,18751,19025,17117,37820,-44,-0.12,39489,-1713,-4.34
충주시,목행.용탄동,3503,3219,2853,6739,-17,-0.25,6894,-172,-2.49
제천시,봉양읍,3450,3322,3657,6769,3,0.04,6838,-66,-0.97
제천시,금성면,1051,896,1047,1948,-1,-0.05,1994,-47,-2.36
제천시,청풍면,670,629,770,1284,15,1.17,1294,5,0.39
제천시,수산면,1065,991,1235,2053,3,0.15,2061,-5,-0.24
제천시,덕산면,1128,1084,1188,2216,-4,-0.18,2239,-27,-1.21
제천시,한수면,362,353,401,708,7,0.99,708,7,0.99
제천시,백운면,1666,1590,1789,3251,5,0.15,3337,-81,-2.43
제천시,송학면,2452,2198,2536,4633,17,0.37,4711,-61,-1.29
제천시,교동,9279,9604,7719,18895,-12,-0.06,19074,-191,-1
제천시,의림지동(전의암동),4915,5034,4203,9950,-1,-0.01,10046,-97,-0.97
제천시,중앙동(전인성동),2941,2975,3108,5954,-38,-0.64,6163,-247,-4.01
제천시,남현동,2459,2497,2501,4945,11,0.22,5126,-170,-3.32
제천시,영서동,5182,5154,4969,10323,13,0.13,10210,126,1.23
제천시,용두동,8973,9030,8665,17959,44,0.25,18129,-126,-0.7
제천시,신백동,5586,5587,5045,11145,28,0.25,11452,-279,-2.44
제천시,청전동,7863,7875,7862,15751,-13,-0.08,16020,-282,-1.76
제천시,화산동,7783,7602,7087,15386,-1,-0.01,15514,-129,-0.83
보은군,보은읍,7424,7471,7028,14855,40,0.27,14979,-84,-0.56
보은군,속리산면,979,926,1083,1902,3,0.16,1990,-85,-4.27
보은군,장안면,771,709,795,1483,-3,-0.2,1547,-67,-4.33
보은군,마로면,1073,1154,1252,2235,-8,-0.36,2299,-72,-3.13
보은군,탄부면,813,859,954,1693,-21,-1.24,1738,-66,-3.8
보은군,삼승면,1181,1137,1248,2322,-4,-0.17,2404,-86,-3.58
보은군,수한면,976,973,1062,1955,-6,-0.31,1950,-1,-0.05
보은군,회남면,410,357,473,767,,0,781,-14,-1.79
보은군,회인면,895,893,1033,1795,-7,-0.39,1839,-51,-2.77
보은군,내북면,886,841,1003,1721,6,0.35,1775,-48,-2.7
보은군,산외면,951,843,964,1794,,0,1837,-43,-2.34
옥천군,옥천읍,14562,14582,12351,29152,-8,-0.03,29323,-179,-0.61
옥천군,동이면,1665,1560,1747,3232,-7,-0.22,3238,-13,-0.4
옥천군,안남면,712,706,793,1428,-10,-0.7,1444,-26,-1.8
옥천군,안내면,984,962,1116,1948,-2,-0.1,1957,-11,-0.56
옥천군,청성면,1169,1172,1435,2349,-8,-0.34,2368,-27,-1.14
옥천군,청산면,1467,1570,1742,3035,2,0.07,3111,-74,-2.38
옥천군,이원면,2190,2085,2303,4291,-16,-0.37,4314,-39,-0.9
옥천군,군서면,1202,1100,1278,2304,-2,-0.09,2306,-4,-0.17
옥천군,군북면,1597,1460,1589,3053,4,0.13,3071,-14,-0.46
영동군,영동읍,10415,10702,9852,21155,-38,-0.18,21810,-693,-3.18
영동군,용산면,1702,1658,1848,3368,-8,-0.24,3427,-67,-1.96
영동군,황간면,2194,2166,2258,4324,36,0.83,4439,-79,-1.78
영동군,추풍령면,1110,1151,1231,2260,1,0.04,2331,-70,-3
영동군,매곡면,956,992,1078,1943,5,0.26,1982,-34,-1.72
영동군,상촌면,1159,1236,1334,2403,-8,-0.33,2419,-24,-0.99
영동군,양강면,1661,1596,1704,3261,-4,-0.12,3318,-61,-1.84
영동군,용화면,477,484,565,962,-1,-0.1,1001,-40,-4
영동군,학산면,1438,1417,1623,2848,7,0.25,2870,-15,-0.52
영동군,양산면,943,946,1051,1891,-2,-0.11,1888,1,0.05
영동군,심천면,1639,1637,1832,3291,-15,-0.46,3398,-122,-3.59
증평군,증평읍,18274,16938,16600,35235,-23,-0.07,35497,-285,-0.8
증평군,도안면,1009,901,1030,1901,9,0.47,1972,-62,-3.14
